"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UPM00033347","BORYSPIL, UP","1997-12-12",,,"31",,
"UPM00033347","BORYSPIL, UP","1997-12-13",,"2.4","24",,"22"
"UPM00033347","BORYSPIL, UP","1997-12-14",,,"18",,
"UPM00033347","BORYSPIL, UP","1997-12-15",,"5.9","3",,
"UPM00033347","BORYSPIL, UP","1997-12-16",,"0.4","-10",,
"UPM00033347","BORYSPIL, UP","1997-12-17",,"5.9","-12",,
"UPM00033347","BORYSPIL, UP","1997-12-18",,,"8","19","-10"
"UPM00033347","BORYSPIL, UP","1997-12-19",,"5.1","8",,
"UPM00033347","BORYSPIL, UP","1997-12-20",,,"24",,
"UPM00033347","BORYSPIL, UP","1997-12-21",,"5.1","25",,
"UPM00033347","BORYSPIL, UP","1997-12-22",,,"22",,
"UPM00033347","BORYSPIL, UP","1997-12-23",,,"21",,
"UPM00033347","BORYSPIL, UP","1997-12-24",,,"25",,
"UPM00033347","BORYSPIL, UP","1997-12-25",,"5.1","32",,"26"
"UPM00033347","BORYSPIL, UP","1997-12-26",,,"35",,
"UPM00033347","BORYSPIL, UP","1997-12-27",,,"35",,
"UPM00033347","BORYSPIL, UP","1997-12-28",,,"34",,
"UPM00033347","BORYSPIL, UP","1997-12-29",,,"33",,
"UPM00033347","BORYSPIL, UP","1997-12-30",,,"34",,
"UPM00033347","BORYSPIL, UP","1997-12-31",,"0.4","32",,
"UPM00033347","BORYSPIL, UP","1998-01-01",,"0.4","28",,
"UPM00033347","BORYSPIL, UP","1998-01-02","0.10","0.4","31","32","27"
"UPM00033347","BORYSPIL, UP","1998-01-03",,"0.8","34",,"31"
"UPM00033347","BORYSPIL, UP","1998-01-04",,,"37",,
"UPM00033347","BORYSPIL, UP","1998-01-05",,,"33",,
"UPM00033347","BORYSPIL, UP","1998-01-06",,,"32","40",
"UPM00033347","BORYSPIL, UP","1998-01-07",,,"33","36",
"UPM00033347","BORYSPIL, UP","1998-01-08",,"1.2","38",,
"UPM00033347","BORYSPIL, UP","1998-01-09",,,"36",,
"UPM00033347","BORYSPIL, UP","1998-01-10",,,"31","33",
"UPM00033347","BORYSPIL, UP","1998-01-11",,,"32",,
"UPM00033347","BORYSPIL, UP","1998-01-12","0.00",,"39",,"35"
"UPM00033347","BORYSPIL, UP","1998-01-13",,,"37",,
"UPM00033347","BORYSPIL, UP","1998-01-14","0.00",,"35",,
"UPM00033347","BORYSPIL, UP","1998-01-15",,,"34",,
"UPM00033347","BORYSPIL, UP","1998-01-16",,,"33",,
"UPM00033347","BORYSPIL, UP","1998-01-17",,,"33",,"32"
"UPM00033347","BORYSPIL, UP","1998-01-18","0.05",,"32","37",
"UPM00033347","BORYSPIL, UP","1998-01-19",,,"32",,
"UPM00033347","BORYSPIL, UP","1998-01-20",,,"30",,
"UPM00033347","BORYSPIL, UP","1998-01-21",,,"27",,
"UPM00033347","BORYSPIL, UP","1998-01-22","0.00",,"23",,
"UPM00033347","BORYSPIL, UP","1998-01-23",,,"20","30","14"
"UPM00033347","BORYSPIL, UP","1998-01-24","0.00",,"21",,
"UPM00033347","BORYSPIL, UP","1998-01-25","0.00",,"22",,
"UPM00033347","BORYSPIL, UP","1998-01-26","0.00",,"17",,
"UPM00033347","BORYSPIL, UP","1998-01-27","0.00",,"20",,
"UPM00033347","BORYSPIL, UP","1998-01-28",,,"26",,
"UPM00033347","BORYSPIL, UP","1998-01-29","0.06",,"25",,
"UPM00033347","BORYSPIL, UP","1998-01-30",,,"18",,
"UPM00033347","BORYSPIL, UP","1998-01-31",,,"22","28",
"UPM00033347","BORYSPIL, UP","1998-02-01",,,"14",,
"UPM00033347","BORYSPIL, UP","1998-02-02","0.00","1.2","16",,
"UPM00033347","BORYSPIL, UP","1998-02-03",,,"20",,"15"
"UPM00033347","BORYSPIL, UP","1998-02-04",,"0.8","25",,
"UPM00033347","BORYSPIL, UP","1998-02-05",,,"24",,
"UPM00033347","BORYSPIL, UP","1998-02-06","0.00",,"29",,
"UPM00033347","BORYSPIL, UP","1998-02-07","0.00",,"24",,
"UPM00033347","BORYSPIL, UP","1998-02-08","0.00",,"18",,
"UPM00033347","BORYSPIL, UP","1998-02-09",,,"34",,
"UPM00033347","BORYSPIL, UP","1998-02-10",,,"35",,
"UPM00033347","BORYSPIL, UP","1998-02-11",,,"36","41",
"UPM00033347","BORYSPIL, UP","1998-02-12",,,"39",,
"UPM00033347","BORYSPIL, UP","1998-02-13",,,"36",,
"UPM00033347","BORYSPIL, UP","1998-02-14","0.00",,"27",,
"UPM00033347","BORYSPIL, UP","1998-02-15",,,"29",,
"UPM00033347","BORYSPIL, UP","1998-02-16",,,"35",,
"UPM00033347","BORYSPIL, UP","1998-02-17","0.00",,"36",,
"UPM00033347","BORYSPIL, UP","1998-02-18",,,"25",,
"UPM00033347","BORYSPIL, UP","1998-02-19",,,"39","43",
"UPM00033347","BORYSPIL, UP","1998-02-20","0.00",,"42",,
"UPM00033347","BORYSPIL, UP","1998-02-21","0.00",,"38",,
"UPM00033347","BORYSPIL, UP","1998-02-22","0.00",,"36",,
"UPM00033347","BORYSPIL, UP","1998-02-23","0.00",,"35",,
"UPM00033347","BORYSPIL, UP","1998-02-24",,,"41",,
"UPM00033347","BORYSPIL, UP","1998-02-25","0.00",,"32",,
"UPM00033347","BORYSPIL, UP","1998-02-26",,,"28",,
"UPM00033347","BORYSPIL, UP","1998-02-27",,,"39",,
"UPM00033347","BORYSPIL, UP","1998-02-28",,,"46",,
"UPM00033347","BORYSPIL, UP","1998-03-01",,,"41",,
"UPM00033347","BORYSPIL, UP","1998-03-02","0.00",,"32",,
"UPM00033347","BORYSPIL, UP","1998-03-03",,"2.4","36",,
"UPM00033347","BORYSPIL, UP","1998-03-04",,,"43",,
"UPM00033347","BORYSPIL, UP","1998-03-05",,,"51",,
"UPM00033347","BORYSPIL, UP","1998-03-06","0.00",,"38",,
"UPM00033347","BORYSPIL, UP","1998-03-07","0.00",,"33",,
"UPM00033347","BORYSPIL, UP","1998-03-08",,,"44",,
"UPM00033347","BORYSPIL, UP","1998-03-09",,,"45","52",
"UPM00033347","BORYSPIL, UP","1998-03-10",,,"32",,
"UPM00033347","BORYSPIL, UP","1998-03-11",,,"27","36",
"UPM00033347","BORYSPIL, UP","1998-03-12",,,"25",,
"UPM00033347","BORYSPIL, UP","1998-03-13",,,"24",,
"UPM00033347","BORYSPIL, UP","1998-03-14",,,"28",,
"UPM00033347","BORYSPIL, UP","1998-03-15",,,"31",,
"UPM00033347","BORYSPIL, UP","1998-03-16",,,"31",,
"UPM00033347","BORYSPIL, UP","1998-03-17",,,"27",,
"UPM00033347","BORYSPIL, UP","1998-03-18",,,"27",,
"UPM00033347","BORYSPIL, UP","1998-03-19",,,"29","39",
"UPM00033347","BORYSPIL, UP","1998-03-20",,"2.8","32","40",
"UPM00033347","BORYSPIL, UP","1998-03-21","0.00",,"28",,
"UPM00033347","BORYSPIL, UP","1998-03-22",,,"28",,
"UPM00033347","BORYSPIL, UP","1998-03-23",,,"29",,
"UPM00033347","BORYSPIL, UP","1998-03-24",,,"28","32",
"UPM00033347","BORYSPIL, UP","1998-03-25",,,"29",,
"UPM00033347","BORYSPIL, UP","1998-03-26",,,"31",,
"UPM00033347","BORYSPIL, UP","1998-03-27","0.00","1.2","31",,
"UPM00033347","BORYSPIL, UP","1998-03-28","0.00",,"33","42",
"UPM00033347","BORYSPIL, UP","1998-03-29","0.00",,"37",,
"UPM00033347","BORYSPIL, UP","1998-03-30",,,"39",,
"UPM00033347","BORYSPIL, UP","1998-03-31","0.00",,"42",,
"UPM00033347","BORYSPIL, UP","1998-04-01",,,"47","54",
"UPM00033347","BORYSPIL, UP","1998-04-02",,,"46",,
"UPM00033347","BORYSPIL, UP","1998-04-03","0.00",,"35",,
"UPM00033347","BORYSPIL, UP","1998-04-04",,,"43",,
"UPM00033347","BORYSPIL, UP","1998-04-05",,,"54",,
"UPM00033347","BORYSPIL, UP","1998-04-06",,,"55",,
"UPM00033347","BORYSPIL, UP","1998-04-07",,,"48",,
"UPM00033347","BORYSPIL, UP","1998-04-08","0.00",,"48",,
"UPM00033347","BORYSPIL, UP","1998-04-09","0.06",,"52",,
"UPM00033347","BORYSPIL, UP","1998-04-10","0.00",,"48",,
"UPM00033347","BORYSPIL, UP","1998-04-11",,,"44","46",
"UPM00033347","BORYSPIL, UP","1998-04-12",,,"53",,"45"
"UPM00033347","BORYSPIL, UP","1998-04-13",,,"50","58",
"UPM00033347","BORYSPIL, UP","1998-04-14","0.00",,"45",,
"UPM00033347","BORYSPIL, UP","1998-04-15","0.00",,"40","49",
"UPM00033347","BORYSPIL, UP","1998-04-16","0.00",,"44",,
"UPM00033347","BORYSPIL, UP","1998-04-17","0.00",,"49",,"42"
"UPM00033347","BORYSPIL, UP","1998-04-18","0.00",,"47",,
"UPM00033347","BORYSPIL, UP","1998-04-19",,,"52",,
"UPM00033347","BORYSPIL, UP","1998-04-20",,,"52",,
"UPM00033347","BORYSPIL, UP","1998-04-21",,,"47",,
"UPM00033347","BORYSPIL, UP","1998-04-22","0.00",,"47",,
"UPM00033347","BORYSPIL, UP","1998-04-23",,,"49",,
"UPM00033347","BORYSPIL, UP","1998-04-24","0.00",,"52",,
"UPM00033347","BORYSPIL, UP","1998-04-25","0.00",,"54",,
"UPM00033347","BORYSPIL, UP","1998-04-26",,,"57",,
"UPM00033347","BORYSPIL, UP","1998-04-27","0.00",,"54",,
"UPM00033347","BORYSPIL, UP","1998-04-28","0.00",,"54","67",
"UPM00033347","BORYSPIL, UP","1998-04-29","0.00",,"55",,
"UPM00033347","BORYSPIL, UP","1998-04-30","0.00",,"57",,
"UPM00033347","BORYSPIL, UP","1998-05-01","0.00",,"59",,
"UPM00033347","BORYSPIL, UP","1998-05-02",,,"61",,
"UPM00033347","BORYSPIL, UP","1998-05-03","0.00",,"58",,
"UPM00033347","BORYSPIL, UP","1998-05-04","0.00",,"61",,
"UPM00033347","BORYSPIL, UP","1998-05-05",,,"58",,
"UPM00033347","BORYSPIL, UP","1998-05-06","0.00",,"53",,
"UPM00033347","BORYSPIL, UP","1998-05-07","0.00",,"58",,
"UPM00033347","BORYSPIL, UP","1998-05-08","0.00",,"59",,
"UPM00033347","BORYSPIL, UP","1998-05-09","0.00",,"63",,
"UPM00033347","BORYSPIL, UP","1998-05-10","0.00",,"65",,
"UPM00033347","BORYSPIL, UP","1998-05-11",,,"63",,
"UPM00033347","BORYSPIL, UP","1998-05-12","0.00",,"62",,
"UPM00033347","BORYSPIL, UP","1998-05-13",,,"54",,
"UPM00033347","BORYSPIL, UP","1998-05-14","0.00",,"48",,
"UPM00033347","BORYSPIL, UP","1998-05-15",,,"49",,
"UPM00033347","BORYSPIL, UP","1998-05-16",,,"55",,
"UPM00033347","BORYSPIL, UP","1998-05-17","0.00",,"57",,
"UPM00033347","BORYSPIL, UP","1998-05-18",,,"61",,
"UPM00033347","BORYSPIL, UP","1998-05-19",,,"60",,
"UPM00033347","BORYSPIL, UP","1998-05-20","0.00",,"63",,
"UPM00033347","BORYSPIL, UP","1998-05-21","0.00",,"59",,
"UPM00033347","BORYSPIL, UP","1998-05-22","0.00",,"57",,
"UPM00033347","BORYSPIL, UP","1998-05-23","0.00",,"48",,
"UPM00033347","BORYSPIL, UP","1998-05-24","0.00",,"49",,
"UPM00033347","BORYSPIL, UP","1998-05-25","0.00",,"58",,
"UPM00033347","BORYSPIL, UP","1998-05-26","0.00",,"57",,
"UPM00033347","BORYSPIL, UP","1998-05-27","0.00",,"60",,
"UPM00033347","BORYSPIL, UP","1998-05-28",,,"60",,
"UPM00033347","BORYSPIL, UP","1998-05-29","0.00",,"62",,
"UPM00033347","BORYSPIL, UP","1998-05-30","0.00",,"65",,
"UPM00033347","BORYSPIL, UP","1998-05-31","0.00",,"67",,
"UPM00033347","BORYSPIL, UP","1998-06-01",,,"68",,
"UPM00033347","BORYSPIL, UP","1998-06-02",,,"65",,
"UPM00033347","BORYSPIL, UP","1998-06-03",,,"63",,
"UPM00033347","BORYSPIL, UP","1998-06-04","0.00",,"73",,
"UPM00033347","BORYSPIL, UP","1998-06-05",,,"71",,
"UPM00033347","BORYSPIL, UP","1998-06-06","0.00",,"70",,
"UPM00033347","BORYSPIL, UP","1998-06-07","0.00",,"70",,
"UPM00033347","BORYSPIL, UP","1998-06-08","0.00",,"74",,
"UPM00033347","BORYSPIL, UP","1998-06-09",,,"76",,
"UPM00033347","BORYSPIL, UP","1998-06-10",,,"76",,
"UPM00033347","BORYSPIL, UP","1998-06-11",,,"76",,
"UPM00033347","BORYSPIL, UP","1998-06-12",,,"74",,
"UPM00033347","BORYSPIL, UP","1998-06-13",,,"76",,
"UPM00033347","BORYSPIL, UP","1998-06-14",,,"74",,
"UPM00033347","BORYSPIL, UP","1998-06-15",,,"67",,
"UPM00033347","BORYSPIL, UP","1998-06-16",,,"67",,
"UPM00033347","BORYSPIL, UP","1998-06-17","0.00",,"66",,
"UPM00033347","BORYSPIL, UP","1998-06-18","0.00",,"69",,
"UPM00033347","BORYSPIL, UP","1998-06-19",,,"71",,
"UPM00033347","BORYSPIL, UP","1998-06-20",,,"58",,
"UPM00033347","BORYSPIL, UP","1998-06-21",,,"60",,
"UPM00033347","BORYSPIL, UP","1998-06-22","0.00",,"57",,
"UPM00033347","BORYSPIL, UP","1998-06-23","0.00",,"59",,
"UPM00033347","BORYSPIL, UP","1998-06-24",,,"60",,
"UPM00033347","BORYSPIL, UP","1998-06-25","0.00",,"59",,
"UPM00033347","BORYSPIL, UP","1998-06-26","0.00",,"59",,
"UPM00033347","BORYSPIL, UP","1998-06-27","0.00",,"62",,
"UPM00033347","BORYSPIL, UP","1998-06-28","0.00",,"63",,
"UPM00033347","BORYSPIL, UP","1998-06-29","0.00",,"67",,
"UPM00033347","BORYSPIL, UP","1998-06-30",,,"66",,
"UPM00033347","BORYSPIL, UP","1998-07-01",,,"65",,
"UPM00033347","BORYSPIL, UP","1998-07-02",,,"64",,
"UPM00033347","BORYSPIL, UP","1998-07-03","0.00",,"60",,
"UPM00033347","BORYSPIL, UP","1998-07-04",,,"62",,
"UPM00033347","BORYSPIL, UP","1998-07-05","0.00",,"60",,
"UPM00033347","BORYSPIL, UP","1998-07-06",,,"60",,
"UPM00033347","BORYSPIL, UP","1998-07-07","0.00",,"61",,
"UPM00033347","BORYSPIL, UP","1998-07-08",,,"57",,
"UPM00033347","BORYSPIL, UP","1998-07-09",,,"61",,
"UPM00033347","BORYSPIL, UP","1998-07-10",,,"58",,
"UPM00033347","BORYSPIL, UP","1998-07-11",,,"57",,
"UPM00033347","BORYSPIL, UP","1998-07-12","0.00",,"62",,
"UPM00033347","BORYSPIL, UP","1998-07-13","0.00",,"63",,
"UPM00033347","BORYSPIL, UP","1998-07-14","0.00",,"74",,
"UPM00033347","BORYSPIL, UP","1998-07-15",,,"71",,
"UPM00033347","BORYSPIL, UP","1998-07-16",,,"62",,
"UPM00033347","BORYSPIL, UP","1998-07-17","0.00",,"64",,
"UPM00033347","BORYSPIL, UP","1998-07-18",,,"58",,
"UPM00033347","BORYSPIL, UP","1998-07-19","0.00",,"68",,
"UPM00033347","BORYSPIL, UP","1998-07-20","0.00",,"71",,
"UPM00033347","BORYSPIL, UP","1998-07-21",,,"71",,
"UPM00033347","BORYSPIL, UP","1998-07-22",,,"77",,
"UPM00033347","BORYSPIL, UP","1998-07-23",,,"78",,
"UPM00033347","BORYSPIL, UP","1998-07-24","0.00",,"76",,
"UPM00033347","BORYSPIL, UP","1998-07-25","0.00",,"74",,
"UPM00033347","BORYSPIL, UP","1998-07-26","0.00",,"71",,
"UPM00033347","BORYSPIL, UP","1998-07-27","0.00",,"69",,
"UPM00033347","BORYSPIL, UP","1998-07-28","0.00",,"73",,
"UPM00033347","BORYSPIL, UP","1998-07-29",,,"75",,
"UPM00033347","BORYSPIL, UP","1998-07-30","0.00",,"67",,
"UPM00033347","BORYSPIL, UP","1998-07-31",,,"72",,
"UPM00033347","BORYSPIL, UP","1998-08-01",,,"75",,
"UPM00033347","BORYSPIL, UP","1998-08-02","0.00",,"77",,
"UPM00033347","BORYSPIL, UP","1998-08-03","0.00",,"79",,
"UPM00033347","BORYSPIL, UP","1998-08-04",,,"79",,
"UPM00033347","BORYSPIL, UP","1998-08-05",,,"73",,
"UPM00033347","BORYSPIL, UP","1998-08-06","0.00",,"67",,
"UPM00033347","BORYSPIL, UP","1998-08-07",,,"63",,
"UPM00033347","BORYSPIL, UP","1998-08-08","0.00",,"64",,
"UPM00033347","BORYSPIL, UP","1998-08-09","0.00",,"67",,
"UPM00033347","BORYSPIL, UP","1998-08-10","0.00",,"60",,
"UPM00033347","BORYSPIL, UP","1998-08-11","0.00",,"60",,
"UPM00033347","BORYSPIL, UP","1998-08-12",,,"61",,
"UPM00033347","BORYSPIL, UP","1998-08-13",,,"61",,
"UPM00033347","BORYSPIL, UP","1998-08-14",,,"66",,
"UPM00033347","BORYSPIL, UP","1998-08-15",,,"60",,
"UPM00033347","BORYSPIL, UP","1998-08-16",,,"62",,
"UPM00033347","BORYSPIL, UP","1998-08-17","0.00",,"67",,
"UPM00033347","BORYSPIL, UP","1998-08-18",,,"66",,
"UPM00033347","BORYSPIL, UP","1998-08-19",,,"71",,
"UPM00033347","BORYSPIL, UP","1998-08-20","0.00",,"61",,
"UPM00033347","BORYSPIL, UP","1998-08-21",,,"65",,
"UPM00033347","BORYSPIL, UP","1998-08-22",,,"66",,
"UPM00033347","BORYSPIL, UP","1998-08-23",,,"58",,
"UPM00033347","BORYSPIL, UP","1998-08-24",,,"59",,
"UPM00033347","BORYSPIL, UP","1998-08-25",,,"58",,
"UPM00033347","BORYSPIL, UP","1998-08-26","0.00",,"57",,
"UPM00033347","BORYSPIL, UP","1998-08-27","0.00",,"58",,
"UPM00033347","BORYSPIL, UP","1998-08-28","0.00",,"55",,
"UPM00033347","BORYSPIL, UP","1998-08-29",,,"52",,
"UPM00033347","BORYSPIL, UP","1998-08-30",,,"51",,
"UPM00033347","BORYSPIL, UP","1998-08-31","0.00",,"53",,
"UPM00033347","BORYSPIL, UP","1998-09-01",,,"51",,
"UPM00033347","BORYSPIL, UP","1998-09-02",,,"50",,
"UPM00033347","BORYSPIL, UP","1998-09-03",,,"45",,
"UPM00033347","BORYSPIL, UP","1998-09-04",,,"53",,
"UPM00033347","BORYSPIL, UP","1998-09-06",,,"52",,
"UPM00033347","BORYSPIL, UP","1998-09-08",,,"52",,
"UPM00033347","BORYSPIL, UP","1998-09-09",,,"49",,
"UPM00033347","BORYSPIL, UP","1998-09-10",,,"61",,
"UPM00033347","BORYSPIL, UP","1998-09-12",,,"57",,
"UPM00033347","BORYSPIL, UP","1998-09-13",,,"66",,
"UPM00033347","BORYSPIL, UP","1998-09-14",,,"62",,
"UPM00033347","BORYSPIL, UP","1998-09-15",,,"57",,
"UPM00033347","BORYSPIL, UP","1998-09-16",,,"56",,
"UPM00033347","BORYSPIL, UP","1998-09-17",,,"51",,
"UPM00033347","BORYSPIL, UP","1998-09-18",,,"71",,
"UPM00033347","BORYSPIL, UP","1998-09-19",,,"67",,
"UPM00033347","BORYSPIL, UP","1998-09-20",,,"66",,
"UPM00033347","BORYSPIL, UP","1998-09-21","0.00",,"58",,
"UPM00033347","BORYSPIL, UP","1998-09-22",,,"58",,
"UPM00033347","BORYSPIL, UP","1998-09-23","0.00",,"57",,
"UPM00033347","BORYSPIL, UP","1998-09-24",,,"50",,
"UPM00033347","BORYSPIL, UP","1998-09-25",,,"45",,
"UPM00033347","BORYSPIL, UP","1998-09-26","0.00",,"55",,
"UPM00033347","BORYSPIL, UP","1998-09-27",,,"61",,
"UPM00033347","BORYSPIL, UP","1998-09-28",,,"64",,
"UPM00033347","BORYSPIL, UP","1998-09-29",,,"62",,
"UPM00033347","BORYSPIL, UP","1998-09-30",,,"53",,
"UPM00033347","BORYSPIL, UP","1998-10-01","0.00",,"40",,
"UPM00033347","BORYSPIL, UP","1998-10-02",,,"39",,
"UPM00033347","BORYSPIL, UP","1998-10-03",,,"40",,
"UPM00033347","BORYSPIL, UP","1998-10-04",,,"37",,
"UPM00033347","BORYSPIL, UP","1998-10-05",,,"41",,
"UPM00033347","BORYSPIL, UP","1998-10-06","0.00",,"40",,
"UPM00033347","BORYSPIL, UP","1998-10-07",,,"36",,
"UPM00033347","BORYSPIL, UP","1998-10-09",,,"45",,
"UPM00033347","BORYSPIL, UP","1998-10-10",,,"53",,
"UPM00033347","BORYSPIL, UP","1998-10-11",,,"53",,
"UPM00033347","BORYSPIL, UP","1998-10-12",,,"51",,
"UPM00033347","BORYSPIL, UP","1998-10-13",,,"53",,
"UPM00033347","BORYSPIL, UP","1998-10-14","0.00",,"47",,
"UPM00033347","BORYSPIL, UP","1998-10-15",,,"46",,
"UPM00033347","BORYSPIL, UP","1998-10-16",,,"53",,
"UPM00033347","BORYSPIL, UP","1998-10-17",,,"52",,
"UPM00033347","BORYSPIL, UP","1998-10-18","0.00",,"54",,
"UPM00033347","BORYSPIL, UP","1998-10-19","0.00",,"47",,
"UPM00033347","BORYSPIL, UP","1998-10-20",,,"51",,
"UPM00033347","BORYSPIL, UP","1998-10-21","0.00",,"41",,
"UPM00033347","BORYSPIL, UP","1998-10-22",,,"43",,
"UPM00033347","BORYSPIL, UP","1998-10-23",,,"45",,
"UPM00033347","BORYSPIL, UP","1998-10-24",,,"51",,
"UPM00033347","BORYSPIL, UP","1998-10-26","0.00",,"44",,
"UPM00033347","BORYSPIL, UP","1998-10-27",,,"43",,
"UPM00033347","BORYSPIL, UP","1998-10-28",,,"44",,
"UPM00033347","BORYSPIL, UP","1998-10-29",,,"48",,
"UPM00033347","BORYSPIL, UP","1998-10-30",,,"44",,
"UPM00033347","BORYSPIL, UP","1998-10-31",,,"36",,
"UPM00033347","BORYSPIL, UP","1998-11-01",,,"34",,
"UPM00033347","BORYSPIL, UP","1998-11-02",,,"40",,
"UPM00033347","BORYSPIL, UP","1998-11-03",,,"44",,
"UPM00033347","BORYSPIL, UP","1998-11-04",,,"47",,
"UPM00033347","BORYSPIL, UP","1998-11-05",,,"46",,
"UPM00033347","BORYSPIL, UP","1998-11-06",,,"40",,
"UPM00033347","BORYSPIL, UP","1998-11-07","0.00",,"39",,
"UPM00033347","BORYSPIL, UP","1998-11-08",,,"34",,
"UPM00033347","BORYSPIL, UP","1998-11-09",,,"29",,
"UPM00033347","BORYSPIL, UP","1998-11-10",,,"26",,
"UPM00033347","BORYSPIL, UP","1998-11-11",,,"27",,
"UPM00033347","BORYSPIL, UP","1998-11-12",,,"26",,
"UPM00033347","BORYSPIL, UP","1998-11-13","0.00",,"26",,
"UPM00033347","BORYSPIL, UP","1998-11-14","0.00",,"21",,
"UPM00033347","BORYSPIL, UP","1998-11-15",,,"17",,
"UPM00033347","BORYSPIL, UP","1998-11-16",,,"22",,
"UPM00033347","BORYSPIL, UP","1998-11-17",,,"24",,
"UPM00033347","BORYSPIL, UP","1998-11-18",,,"18",,
"UPM00033347","BORYSPIL, UP","1998-11-19",,,"16",,
"UPM00033347","BORYSPIL, UP","1998-11-20",,,"12",,
"UPM00033347","BORYSPIL, UP","1998-11-21",,,"17",,
"UPM00033347","BORYSPIL, UP","1998-11-22","0.00",,"1",,
"UPM00033347","BORYSPIL, UP","1998-11-23",,,"-1",,
"UPM00033347","BORYSPIL, UP","1998-11-24","0.00",,"6",,
"UPM00033347","BORYSPIL, UP","1998-11-25",,,"20",,
"UPM00033347","BORYSPIL, UP","1998-11-26",,,"27",,
"UPM00033347","BORYSPIL, UP","1998-11-27",,,"28",,
"UPM00033347","BORYSPIL, UP","1998-11-28",,,"21",,
"UPM00033347","BORYSPIL, UP","1998-11-29",,,"15",,
"UPM00033347","BORYSPIL, UP","1998-11-30",,,"8",,
"UPM00033347","BORYSPIL, UP","1998-12-01",,,"-7",,
"UPM00033347","BORYSPIL, UP","1998-12-02",,,"-12",,
"UPM00033347","BORYSPIL, UP","1998-12-03",,,"-8",,
"UPM00033347","BORYSPIL, UP","1998-12-04",,,"9",,
"UPM00033347","BORYSPIL, UP","1998-12-05",,,"30",,
"UPM00033347","BORYSPIL, UP","1998-12-06",,,"26",,
"UPM00033347","BORYSPIL, UP","1998-12-07",,,"11",,
"UPM00033347","BORYSPIL, UP","1998-12-08",,,"6",,
"UPM00033347","BORYSPIL, UP","1998-12-09",,,"9",,
"UPM00033347","BORYSPIL, UP","1998-12-10",,,"13",,
"UPM00033347","BORYSPIL, UP","1998-12-11",,,"15",,
"UPM00033347","BORYSPIL, UP","1998-12-12",,,"20",,
"UPM00033347","BORYSPIL, UP","1998-12-13",,,"26",,
"UPM00033347","BORYSPIL, UP","1998-12-14",,,"34",,
"UPM00033347","BORYSPIL, UP","1998-12-15",,,"31",,
"UPM00033347","BORYSPIL, UP","1998-12-16",,,"31",,
"UPM00033347","BORYSPIL, UP","1998-12-17","0.00",,"33",,
"UPM00033347","BORYSPIL, UP","1998-12-18",,,"33",,
"UPM00033347","BORYSPIL, UP","1998-12-19",,,"26",,
"UPM00033347","BORYSPIL, UP","1998-12-20",,,"30",,
"UPM00033347","BORYSPIL, UP","1998-12-21",,,"28",,
"UPM00033347","BORYSPIL, UP","1998-12-22",,,"25",,
"UPM00033347","BORYSPIL, UP","1998-12-23",,,"7",,
"UPM00033347","BORYSPIL, UP","1998-12-24",,,"6",,
"UPM00033347","BORYSPIL, UP","1998-12-25",,,"13",,
"UPM00033347","BORYSPIL, UP","1998-12-26",,,"20",,
"UPM00033347","BORYSPIL, UP","1998-12-27",,,"28",,
"UPM00033347","BORYSPIL, UP","1998-12-28",,,"35",,
"UPM00033347","BORYSPIL, UP","1998-12-29",,,"31",,
"UPM00033347","BORYSPIL, UP","1998-12-30",,,"23",,
"UPM00033347","BORYSPIL, UP","1998-12-31",,,"25",,
"UPM00033347","BORYSPIL, UP","1999-01-01",,,"22",,
"UPM00033347","BORYSPIL, UP","1999-01-02",,,"25",,
"UPM00033347","BORYSPIL, UP","1999-01-03",,,"29",,
"UPM00033347","BORYSPIL, UP","1999-01-04",,,"32",,
"UPM00033347","BORYSPIL, UP","1999-01-05",,,"34",,
"UPM00033347","BORYSPIL, UP","1999-01-06",,,"37",,
"UPM00033347","BORYSPIL, UP","1999-01-07",,,"39",,
"UPM00033347","BORYSPIL, UP","1999-01-08",,,"32",,
"UPM00033347","BORYSPIL, UP","1999-01-09",,,"30",,
"UPM00033347","BORYSPIL, UP","1999-01-11",,,"17",,
"UPM00033347","BORYSPIL, UP","1999-01-12",,,"24",,
"UPM00033347","BORYSPIL, UP","1999-01-13",,,"31",,
"UPM00033347","BORYSPIL, UP","1999-01-14",,,"29",,
"UPM00033347","BORYSPIL, UP","1999-01-15",,,"29","51",
"UPM00033347","BORYSPIL, UP","1999-01-16",,,"26",,
"UPM00033347","BORYSPIL, UP","1999-01-17",,,"23",,
"UPM00033347","BORYSPIL, UP","1999-01-18",,,"23",,
"UPM00033347","BORYSPIL, UP","1999-01-19",,,"18",,
"UPM00033347","BORYSPIL, UP","1999-01-20",,,"13",,
"UPM00033347","BORYSPIL, UP","1999-01-21",,,"16",,
"UPM00033347","BORYSPIL, UP","1999-01-22",,,"22",,
"UPM00033347","BORYSPIL, UP","1999-01-23",,,"30",,
"UPM00033347","BORYSPIL, UP","1999-01-24",,,"27",,
"UPM00033347","BORYSPIL, UP","1999-01-25",,,"32",,
"UPM00033347","BORYSPIL, UP","1999-01-26",,,"37",,
"UPM00033347","BORYSPIL, UP","1999-01-27",,,"34",,
"UPM00033347","BORYSPIL, UP","1999-01-28",,,"32",,
"UPM00033347","BORYSPIL, UP","1999-01-29",,,"29",,
